verified,followers_count,protected,statuses_count,friends_count,notification,profile_background_tile,favourites_count,following,url_contain_name,#_i,#_im,i_am,internet_marketing,#_internet,i_love,#_we,from_the,official_twitter,the_official,i,internet,my,marketing,im,business,from,twitter,official,news,by,follow,class
False,895829,False,4209,574,False,False,614,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,P
False,922633,False,3420,242,False,False,504,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,P
False,14062,False,7060,255,None,False,449,None,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,O
False,1107133,False,4424,890,False,False,1133,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,P
False,10523,False,1827,510,False,True,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,P
False,821399,False,2975,166,None,False,133,None,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,P
False,18329,False,779,112,False,False,154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,P
False,787859,False,3973,496,None,False,1523,None,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,P
False,14860,False,1093,499,None,False,6,None,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,P
False,25923,False,5511,281,None,True,318,None,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,P
False,26799,False,22422,26483,False,False,1115,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,O
False,11073,False,3775,416,None,False,16,None,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,P
False,10722,False,2230,479,False,False,358,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,P
False,594299,False,5607,447,False,False,20,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,P
